,__lock,avg_dl,avg_idle,avg_irq,avg_rt,balance_callback,cfs,cfs_tasks,clock,clock_idle,clock_pelt,clock_pelt_idle,clock_task,clock_update_flags,cpu,cpu_capacity,curr,has_blocked_load,idle,idle_stamp,last_blocked_load_update_tick,last_seen_need_resched_ns,leaf_cfs_rq_list,lost_idle_time,max_idle_balance_cost,next_balance,nohz_tick_stopped,nr_iowait,nr_numa_running,nr_preferred_running,nr_running,nr_switches,pd,prev_mm,push_busy,rd,sched_count,scratch_mask,sd,tmp_alone_branch,ttwu_pending
__lock,0.0,0.0,2.0,0.0,1.0,6.0,11.0,2.0,16.0,1.0,11.0,1.0,12.0,41.0,16.0,0.0,12.0,1.0,2.0,2.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,3.0
avg_dl,0.0,0.0,2.0,5.0,4.0,1.0,2.0,0.0,6.0,1.0,6.0,1.0,3.0,9.0,7.0,0.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
avg_idle,2.0,2.0,0.0,1.0,2.0,2.0,230.0,0.0,9.0,1.0,5.0,1.0,2.0,21.0,80.0,7.0,62.0,1.0,53.0,7.0,1.0,0.0,4.0,3.0,3.0,2.0,0.0,0.0,68.0,68.0,103.0,0.0,2.0,0.0,0.0,10.0,1.0,0.0,3.0,3.0,30.0
avg_irq,0.0,5.0,1.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,6.0,0.0,4.0,7.0,6.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
avg_rt,1.0,4.0,2.0,5.0,0.0,1.0,2.0,0.0,6.0,1.0,6.0,1.0,3.0,9.0,7.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
balance_callback,6.0,1.0,2.0,0.0,1.0,0.0,14.0,2.0,16.0,1.0,12.0,1.0,11.0,37.0,19.0,0.0,12.0,1.0,2.0,2.0,1.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,2.0,0.0,6.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,3.0
cfs,11.0,2.0,230.0,4.0,2.0,14.0,0.0,4.0,28.0,3.0,39.0,3.0,29.0,72.0,333.0,62.0,306.0,12.0,270.0,8.0,0.0,1.0,9.0,32.0,0.0,2.0,0.0,0.0,298.0,300.0,347.0,1.0,207.0,0.0,0.0,159.0,7.0,3.0,3.0,2.0,251.0
cfs_tasks,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,1.0,7.0,1.0,5.0,18.0,14.0,0.0,14.0,0.0,2.0,2.0,0.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0
clock,16.0,6.0,9.0,5.0,6.0,16.0,28.0,5.0,0.0,4.0,27.0,4.0,18.0,65.0,48.0,0.0,32.0,4.0,5.0,6.0,5.0,5.0,3.0,19.0,1.0,2.0,5.0,13.0,4.0,6.0,20.0,5.0,0.0,8.0,0.0,8.0,6.0,2.0,7.0,1.0,7.0
clock_idle,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,5.0,2.0,2.0,8.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
