,__lock,avg_dl,avg_idle,avg_irq,avg_rt,balance_callback,cfs,cfs_tasks,clock,clock_idle,clock_pelt,clock_pelt_idle,clock_task,clock_update_flags,cpu,cpu_capacity,curr,has_blocked_load,idle,idle_stamp,last_blocked_load_update_tick,last_seen_need_resched_ns,leaf_cfs_rq_list,lost_idle_time,max_idle_balance_cost,next_balance,nohz_tick_stopped,nr_iowait,nr_numa_running,nr_preferred_running,nr_running,nr_switches,pd,prev_mm,push_busy,rd,sched_count,scratch_mask,sd,tmp_alone_branch,ttwu_pending
__lock,0.0,2.0,8.0,2.0,2.0,12.0,38.0,4.0,36.0,2.0,24.0,2.0,20.0,92.0,56.0,0.0,36.0,0.0,2.0,10.0,2.0,2.0,4.0,14.0,2.0,0.0,0.0,2.0,4.0,6.0,22.0,2.0,0.0,4.0,0.0,4.0,6.0,2.0,4.0,2.0,6.0
avg_dl,2.0,0.0,8.0,8.0,6.0,2.0,40.0,0.0,14.0,2.0,14.0,2.0,6.0,34.0,32.0,2.0,16.0,2.0,6.0,2.0,2.0,2.0,2.0,10.0,0.0,2.0,0.0,2.0,8.0,8.0,16.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0
avg_idle,8.0,8.0,0.0,8.0,8.0,8.0,138.0,6.0,24.0,4.0,24.0,4.0,8.0,94.0,88.0,4.0,78.0,2.0,28.0,20.0,2.0,4.0,14.0,18.0,6.0,4.0,0.0,4.0,30.0,36.0,66.0,4.0,4.0,8.0,0.0,16.0,6.0,0.0,2.0,6.0,18.0
avg_irq,2.0,8.0,8.0,0.0,8.0,2.0,90.0,0.0,10.0,0.0,18.0,0.0,4.0,34.0,46.0,6.0,18.0,6.0,12.0,2.0,2.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,20.0,20.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,8.0
avg_rt,2.0,6.0,8.0,8.0,0.0,2.0,40.0,0.0,14.0,2.0,14.0,2.0,6.0,34.0,32.0,2.0,16.0,2.0,6.0,2.0,2.0,2.0,2.0,10.0,0.0,2.0,0.0,2.0,8.0,8.0,16.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0
balance_callback,12.0,2.0,8.0,2.0,2.0,0.0,38.0,4.0,36.0,2.0,24.0,2.0,20.0,92.0,56.0,0.0,36.0,0.0,2.0,10.0,2.0,2.0,4.0,14.0,2.0,0.0,0.0,2.0,4.0,6.0,22.0,2.0,0.0,4.0,0.0,4.0,6.0,2.0,4.0,2.0,6.0
cfs,38.0,40.0,138.0,90.0,40.0,38.0,0.0,34.0,126.0,2.0,212.0,2.0,102.0,528.0,2836.0,208.0,2066.0,26.0,1890.0,52.0,12.0,4.0,78.0,168.0,8.0,2.0,0.0,2.0,2490.0,2512.0,3606.0,4.0,72.0,8.0,0.0,94.0,26.0,0.0,28.0,20.0,936.0
cfs_tasks,4.0,0.0,6.0,0.0,0.0,4.0,34.0,0.0,8.0,0.0,26.0,0.0,12.0,62.0,40.0,0.0,38.0,0.0,2.0,6.0,0.0,2.0,16.0,20.0,2.0,0.0,0.0,0.0,4.0,10.0,24.0,2.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,6.0,2.0
clock,36.0,14.0,24.0,10.0,14.0,36.0,126.0,8.0,0.0,12.0,90.0,12.0,74.0,308.0,192.0,0.0,104.0,0.0,6.0,22.0,10.0,10.0,4.0,52.0,2.0,4.0,0.0,12.0,16.0,18.0,70.0,10.0,0.0,20.0,0.0,16.0,14.0,4.0,16.0,2.0,18.0
clock_idle,2.0,2.0,4.0,0.0,2.0,2.0,2.0,0.0,12.0,0.0,8.0,4.0,6.0,26.0,10.0,0.0,8.0,0.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
